Year	rice_th	wheat_th
1971	0.516339869	0.995230525
1972	0.506329114	1.290449882
1973	0.337078652	1.266281946
1974	0.151515152	1.114608555
1975	0.590163934	1.204448246
1976	0.5	1.147244806
1977	0.531914894	1.329679595
1978	0.558441558	1.431323283
1979	0.027027027	0.911889597
1980	0.404255319	1.344057194
1981	0.710526316	1.520897044
1982	0.647058824	1.708835341
1983	0.971428571	1.570192308
1984	0.534883721	1.375106564
1985	0.961538462	1.695555556
1986	0.92	1.912599319
1987	0.8125	1.973770492
1988	0.947368421	1.997772829
1989	0.666666667	2.096732026
1990	0.984042553	2.024729923
1991	1.060402685	2.205459057
1992	1.042857143	2.178854105
1993	0.857142857	2.289619418
1994	1.024793388	2.05384184
1995	0.714285714	2.383149655
1996	1.182539683	2.776303514
1997	0.6	2.290304606
1998	0.757575758	2.851296044
1999	0.819277108	3.258785942
2000	0.977375566	2.882127985
2001	0.706422018	3.294606472
2002	0.55	3.054402516
2003	0.895348837	2.982782369
2004	0.47826087	3.17865728
2005	1.26121372	3.072654438
2006	0.867620751	2.819596677
2007	0.425041186	1.777292128
2008	1.2	3.127089627
2009	1.147058824	2.760390475
2010	1.135693215	3.19584686
2011	1.351032448	3.360087012
2012	1.845283019	3.362031748
2013	1.798507463	3.215681928
