Year	rice_th	wheat_th
1971	0.523809524	0.860052562
1972	0.726293103	0.855795148
1973	0.802592223	0.90260631
1974	0.958287596	1.233021807
1975	0.864304235	1.116655865
1976	0.756389776	1.115877081
1977	0.862149533	1.228808158
1978	0.923020528	1.183090024
1979	0.24506218	0.74984326
1980	0.693754703	1.473488865
1981	0.802621996	1.576396807
1982	0.780487805	1.443010753
1983	0.963018868	1.600295712
1984	0.734939759	1.373783922
1985	0.710410557	1.55079122
1986	1.007346939	1.514366197
1987	0.615447154	1.58573854
1988	1.461243285	2.09119333
1989	1.505747126	1.677251732
1990	1.682893643	1.987100993
1991	1.549351866	2.062935001
1992	1.473755554	1.783488682
1993	1.643809389	1.984945165
1994	1.505808044	2.18697201
1995	1.560730731	2.162624296
1996	1.895871934	2.463652575
1997	2.220993692	2.198319241
1998	1.774826463	2.228103656
1999	2.051021061	2.42236306
2000	1.424897434	2.229765773
2001	1.716797118	2.454316511
2002	1.576078791	2.442217634
2003	1.867727499	2.514143944
2004	1.519054429	2.270419584
2005	1.661087109	2.392850974
2006	1.619989629	2.736028714
2007	1.748722603	2.769675882
2008	1.73598369	2.927331449
2009	1.839408179	2.64786448
2010	1.977996636	3.065001704
2011	2.224002929	3.159997962
2012	1.36904395	3.191888075
2013	2.38943706	3.284978785
