Year	rice_th	wheat_th
1971	0.4205	0.7523
1972	0.442	0.7916
1973	0.4635	0.8309
1974	0.485	0.8702
1975	0.5065	0.9095
1976	0.528	0.9488
1977	0.5495	0.9881
1978	0.571	1.0274
1979	0.5925	1.0667
1980	0.614	1.106
1981	0.6355	1.1453
1982	0.657	1.1846
1983	0.6785	1.2239
1984	0.7	1.2632
1985	0.7215	1.3025
1986	0.743	1.3418
1987	0.7645	1.3811
1988	0.786	1.4204
1989	0.8075	1.4597
1990	0.829	1.499
1991	0.8505	1.5383
1992	0.872	1.5776
1993	0.8935	1.6169
1994	0.915	1.6562
1995	0.9365	1.6955
1996	0.958	1.7348
1997	0.9795	1.7741
1998	1.001	1.8134
1999	1.0225	1.8527
2000	1.044	1.892
2001	1.0655	1.9313
2002	1.087	1.9706
2003	1.1085	2.0099
2004	1.13	2.0492
2005	1.1515	2.0885
2006	1.173	2.1278
2007	1.1945	2.1671
2008	1.216	2.2064
2009	1.2375	2.2457
2010	1.259	2.285
2011	1.2805	2.3243
2012	1.302	2.3636
2013	1.3235	2.4029
