Year	rice_th	wheat_th
1971	0.4371	0.8809
1972	0.4612	0.9158
1973	0.4853	0.9507
1974	0.5094	0.9856
1975	0.5335	1.0205
1976	0.5576	1.0554
1977	0.5817	1.0903
1978	0.6058	1.1252
1979	0.6299	1.1601
1980	0.654	1.195
1981	0.6781	1.2299
1982	0.7022	1.2648
1983	0.7263	1.2997
1984	0.7504	1.3346
1985	0.7745	1.3695
1986	0.7986	1.4044
1987	0.8227	1.4393
1988	0.8468	1.4742
1989	0.8709	1.5091
1990	0.895	1.544
1991	0.9191	1.5789
1992	0.9432	1.6138
1993	0.9673	1.6487
1994	0.9914	1.6836
1995	1.0155	1.7185
1996	1.0396	1.7534
1997	1.0637	1.7883
1998	1.0878	1.8232
1999	1.1119	1.8581
2000	1.136	1.893
2001	1.1601	1.9279
2002	1.1842	1.9628
2003	1.2083	1.9977
2004	1.2324	2.0326
2005	1.2565	2.0675
