Year	rice_th	wheat_th
1971	0.535353535	1.121295658
1972	0.489361702	1.18957012
1973	0.329545455	0.879385965
1974	0.227272727	0.735294118
1975	0.711111111	0.792379471
1976	0.490196078	0.847302905
1977	0.528301887	1.032208589
1978	0.541666667	1.084659913
1979	0.016949153	0.574621485
1980	0.375	1.235672891
1981	0.702702703	1.184157075
1982	0.615384615	1.335907336
1983	0.976744186	1.378258106
1984	0.538461538	1.181644359
1985	0.953488372	1.247990105
1986	0.942857143	2.233134073
1987	0.777777778	1.38162762
1988	0.958333333	1.342948718
1989	0.68	1.203588682
1990	0.981060606	1.588381399
1991	0.660377358	1.514019305
1992	1.044843049	1.668032787
1993	0.859296482	1.66224333
1994	1.027777778	1.752758275
1995	0.717314488	1.60723963
1996	1.184563758	1.961715062
1997	1.126436782	1.769893278
1998	1.619047619	2.046648007
1999	1.08627451	2.305641155
2000	0.993055556	1.740212072
2001	1.331858407	2.006914434
2002	0.816793893	1.760382
2003	1.161290323	1.922489009
2004	1.138211382	1.708330328
2005	0.785123967	1.791702849

