date	tmax	tmin	tmean	td	precip	ETo.Kc	precip.month.byday	Eff.R	IRR	ETo_mm
1971-01-01	24.75109986	5.613943258	15.16513628	19.1371566	0	3.347379139	0.59943894	0	3.347379139	2.988731374
1971-01-02	23.64425401	4.354713359	13.98013586	19.28954065	0	3.247223114	0.59943894	0	3.247223114	2.899306352
1971-01-03	24.15251092	4.251673618	14.18513579	19.9008373	0	3.327648577	0.59943894	0	3.327648577	2.971114801
1971-01-04	23.5317872	5.82188479	14.66013617	17.70990241	0	3.194060699	0.59943894	0	3.194060699	2.85183991
1971-01-05	23.55900697	8.215818563	15.87513537	15.3431884	0	3.092822529	0.59943894	0	3.092822529	2.761448686
1971-01-06	23.69419412	5.776862779	14.72013659	17.91733134	0	3.237060024	0.59943894	0	3.237060024	2.890232164
1971-01-07	23.81924943	4.756687322	14.27513594	19.0625621	0	3.30342417	0.59943894	0	3.30342417	2.949485866
1971-01-08	23.85796098	4.793696084	14.30513567	19.06426489	0	3.317428198	0.59943894	0	3.317428198	2.961989462
1971-01-09	24.32130746	5.890789666	15.09013552	18.43051779	0	3.352974168	0.59943894	0	3.352974168	2.993726935
1971-01-10	25.15858773	6.768593469	15.94513602	18.38999426	0	3.448594744	0.59943894	0	3.448594744	3.07910245
1971-01-11	25.32640008	6.406026521	15.85013575	18.92037355	0	3.501067263	0.59943894	0	3.501067263	3.125952914
1971-01-12	25.42491273	6.330405393	15.86013598	19.09450733	0	3.531751934	0.59943894	0	3.531751934	3.153349941
1971-01-13	25.13914041	7.567387262	16.34013552	17.57175314	0	3.450050063	0.59943894	0	3.450050063	3.080401842
1971-01-14	25.69475106	7.437732377	16.55013651	18.25701868	0	3.552942287	0.59943894	0	3.552942287	3.172269899
1971-01-15	25.43170861	6.850801149	16.12513632	18.58090746	0	3.555085037	0.59943894	0	3.555085037	3.174183068
1971-01-16	25.01619271	10.06268279	17.52013583	14.95350992	0	3.334996901	0.59943894	0	3.334996901	2.977675805
1971-01-17	24.68582086	7.556405702	16.10513586	17.12941515	0	3.841417653	0.59943894	0	3.841417653	3.073134122
1971-01-18	24.12443475	6.137005487	15.11513514	17.98742926	0	3.83927533	0.59943894	0	3.83927533	3.071420264
1971-01-19	24.37169961	5.726770082	15.03513522	18.64492952	0	3.917904295	0.59943894	0	3.917904295	3.134323436
1971-01-20	24.40440301	6.811451593	15.59013552	17.59295141	0	3.888993983	0.59943894	0	3.888993983	3.111195187
1971-01-21	24.51557855	8.428610483	16.45513625	16.08696806	11.75698406	3.83420542	0.59943894	0	3.83420542	3.067364336
1971-01-22	22.83778314	10.45370833	16.62513537	12.38407481	0.206723668	3.398042464	0.59943894	0	3.398042464	2.718433972
