Year	rice_th	wheat_th
1971	0.4261	0.8109
1972	0.4412	0.8788
1973	0.4563	0.9467
1974	0.4714	1.0146
1975	0.4865	1.0825
1976	0.5016	1.1504
1977	0.5167	1.2183
1978	0.5318	1.2862
1979	0.5469	1.3541
1980	0.562	1.422
1981	0.5771	1.4899
1982	0.5922	1.5578
1983	0.6073	1.6257
1984	0.6224	1.6936
1985	0.6375	1.7615
1986	0.6526	1.8294
1987	0.6677	1.8973
1988	0.6828	1.9652
1989	0.6979	2.0331
1990	0.713	2.101
1991	0.7281	2.1689
1992	0.7432	2.2368
1993	0.7583	2.3047
1994	0.7734	2.3726
1995	0.7885	2.4405
1996	0.8036	2.5084
1997	0.8187	2.5763
1998	0.8338	2.6442
1999	0.8489	2.7121
2000	0.864	2.78
2001	0.8791	2.8479
2002	0.8942	2.9158
2003	0.9093	2.9837
2004	0.9244	3.0516
2005	0.9395	3.1195
