year	rice_p_per_t	wheat_p_per_t	r_yield_t_ha	w_yield_t_ha	fert_n_p_per_kg	fert_p_p_per_kg	fert_k_p_per_kg	diesel_per_l	fert_n_t_ha	fert_p_t_ha	fert_k_t_ha
1966-01-01	724	1127	1	1	1.511	1.461	0.508	10	1.936036551	0.110413097	0
1967-01-01	652	687	1.0842292	1.068933341	1.578	1.844	0.655	10	1.659889094	0.310536044	0.182994455
1968-01-01	584	703	1.168458401	1.137866682	1.911	1.948	0.718	10	4.181318681	0.886446886	0.344322344
1969-01-01	518	818	1.252908751	1.206981012	2.096	2.795	0.833	10	7.180137731	1.31206959	0.64334904
1970-01-01	487	680	1.337137951	1.275914352	2.053	3.114	0.877	10	7.916899571	1.347121297	0.674492268
1971-01-01	510	741	1.421367152	1.344847693	2.01	3.21	0.89	10	8.377920121	1.458176338	0.894875659
1972-01-01	612	784	1.505605967	1.413788903	2.08	3.17	0.92	10	8.473704268	1.474847561	0.905106707
1973-01-01	719	1234	1.590065933	1.482911102	2.28	3.27	1.13	10	10.84337349	1.892732219	0.891954916
1974-01-01	972	1453	1.674295133	1.551844443	4.35	5.63	2.05	10	11.52656622	1.818001586	0.666137986
1975-01-01	618	1006	1.758524334	1.620777784	4.02	6.315	1.9	10	9.343553459	0.79009434	0.505110063
1976-01-01	670	1156	1.842753534	1.689711125	3.8	4.51	1.52	10	11.59905938	1.301195375	0.574172056
1977-01-01	748	1251	1.927213499	1.758833324	3.48	3.57	1.34	10	14.78269268	2.296696929	0.965810315
1978-01-01	762	1128	2.0114427	1.827766665	3.395	3.699	1.34	10	19.32333577	4.729334309	2.368324799
1979-01-01	1170	1288	2.0956719	1.896700006	3.15	4.07	1.34	10	19.29773226	3.613752743	1.356986101
1980-01-01	953	1384	2.179901101	1.965633346	4.35	5.415	1.83	10	21.51298939	4.632272228	1.908159532
1981-01-01	1048	1521	2.264361066	2.034755546	5.11	5.86	2.17	10	25.25405598	5.320021394	2.882866821
1982-01-01	1188	2139	2.348590267	2.103688886	4.89	5.57	2.085	10	30.17144741	8.16683152	4.043850973
1983-01-01	1385	1487	2.432819467	2.172622227	4.67	5.31	2	10	36.64428375	7.465564738	2.575757576
1984-01-01	1197	1693	2.517048667	2.241555568	4.67	5.31	2	10	39.53418349	7.004959263	2.584130358
1985-01-01	1000	1918	2.601508633	2.310677767	4.67	5.31	2	10	15.99652174	2.763478261	1.382608696
1986-01-01	1531	1888	2.685737833	2.379611108	5.11	5.94	2.17	10	40.48342286	10.27412484	3.641415077
1987-01-01	1764	2150	2.769967034	2.448544449	5.11	5.94	2.17	10	32.27214377	12.36567027	3.634696497
1988-01-01	1971	2720	2.854196234	2.51747779	5.11	5.94	2.17	10	55.29496924	14.40282302	2.965979008
1989-01-01	1679	2357	2.938656199	2.586599989	5.11	5.94	2.17	10	51.50036417	11.55498908	1.902767662
1990-01-01	1991	3018	3.0228854	2.65553333	5.11	5.94	2.17	10	58.00953079	12.44501466	1.297653959
1991-01-01	2470	3692	3.1071146	2.72446667	6.65	7.75	2.83	10	50.89476544	11.20630321	1.787719616
1992-01-01	2730	3730	3.191343801	2.793400011	6	7.608260086	3.214985591	10	66.82084915	8.148084225	0.452191923
1993-01-01	3220	3720	3.275803766	2.86252221	6	7.466131844	3.601025937	10	62.17035775	8.400340716	0.833049404
1994-01-01	3980	3770	3.360032966	2.931455551	7.22	7.324391931	3.986011527	10	60.41272896	9.654970961	2.424481941
1995-01-01	3890	4030	3.444262167	3.000388892	7.127063655	7.182652017	4.370997118	10	75.28051156	16.3136214	0.925558869
1996-01-01	4094.719562	4494.363885	3.528491367	3.069322233	7.03412731	7.040912104	4.755982709	10	77.68677553	21.08130976	2.893645825
1997-01-01	4300	4960	3.612951333	3.138444432	6.940936345	6.898783862	5.142023055	10	72.62856461	23.23793615	3.194300032
1998-01-01	5220	5380	3.697180533	3.207377773	6.848	6.757043948	5.527008646	10	81.27500848	25.79009834	2.227873856
1999-01-01	6727	5820	3.781409733	3.276311114	6.755063655	6.615304035	5.911994236	10	79.17293971	25.92131963	2.191202461
2000-01-01	8234	6622	3.865638934	3.345244454	6.66212731	6.473564121	6.296979827	10	75.80367625	30.70453339	2.793367962
2001-01-01	7936	6647	3.950098899	3.414366654	6.568936345	6.331435879	6.683020173	10	96.64486145	35.02681883	3.503159369
2002-01-01	7915	7009.501711	4.0343281	3.483299994	6.476	6.189695965	7.068005764	10	91.43916245	35.52071332	5.379952913
2003-01-01	7881	7372.003422	4.1185573	3.552233335	6.383063655	6.047956052	7.452991354	10	89.94504122	33.82463153	6.098551087
2004-01-01	8047	7734.505133	4.202786501	3.621166676	6.29012731	5.906216138	7.837976945	10	88.47609167	32.91629795	6.842940405
2005-01-01	8225	8098	4.287246466	3.690288875	6.196936345	5.764087896	8.224017291	10	92.17112967	37.45491451	7.972519322
2006-01-01	8402	8461	4.371475666	3.759222216	6.104	5.622347983	8.609002882	10	101.7652428	36.73747235	6.090938626
2007-01-01	8580	8823	4.455704867	3.828155557	6.011063655	5.480608069	8.993988473	10	107.2197371	33.22086686	5.109845651
2008-01-01	8757	9186	4.539934067	3.897088898	5.91812731	5.338868156	9.378974063	10	102.6820012	33.1841323	4.964836304
2009-01-01	8935	9549	4.624394033	3.966211097	5.824936345	5.196739914	9.765014409	10	105.339499	34.12415019	5.084446828
