Year	rice_th	wheat_th
1971	0.6118	0.9614
1972	0.6526	1.0118
1973	0.6934	1.0622
1974	0.7342	1.1126
1975	0.775	1.163
1976	0.8158	1.2134
1977	0.8566	1.2638
1978	0.8974	1.3142
1979	0.9382	1.3646
1980	0.979	1.415
1981	1.0198	1.4654
1982	1.0606	1.5158
1983	1.1014	1.5662
1984	1.1422	1.6166
1985	1.183	1.667
1986	1.2238	1.7174
1987	1.2646	1.7678
1988	1.3054	1.8182
1989	1.3462	1.8686
1990	1.387	1.919
1991	1.4278	1.9694
1992	1.4686	2.0198
1993	1.5094	2.0702
1994	1.5502	2.1206
1995	1.591	2.171
1996	1.6318	2.2214
1997	1.6726	2.2718
1998	1.7134	2.3222
1999	1.7542	2.3726
2000	1.795	2.423
2001	1.8358	2.4734
2002	1.8766	2.5238
2003	1.9174	2.5742
2004	1.9582	2.6246
2005	1.999	2.675
2006	2.0398	2.7254
2007	2.0806	2.7758
2008	2.1214	2.8262
2009	2.1622	2.8766
2010	2.203	2.927
2011	2.2438	2.9774
2012	2.2846	3.0278
2013	2.3254	3.0782
