date	wl
2003-05-15	131.0536364
2003-08-15	132.7533333
2003-11-15	132.7421429
2004-01-15	133.1792308
2004-05-15	130.4721429
2004-08-15	133.5530769
2004-11-15	132.7514286
2005-01-15	132.71
2005-05-15	129.4923077
2005-08-15	133.3825
2005-11-15	131.7864286
2006-01-15	131.7323077
2006-05-15	129.9078571
2006-08-15	131.964
2006-11-15	131.6676923
2007-01-15	131.7907692
2007-05-15	129.9938462
2007-08-15	131.8276923
2007-11-15	131.5515385
2008-01-15	130.8854545
2008-05-15	129.7246154
2008-08-15	132.7992308
2008-11-15	132.1475
2009-01-15	131.3936364
2009-05-15	129.8784615
2009-08-15	131.6861538
2009-11-15	131.8538462
2010-01-15	130.1238462
2010-05-15	129.53
2010-08-15	131.2238462
2010-11-15	131.4176923
2011-01-15	131.2915385
2011-05-15	128.6741667
2011-08-15	132.5830769
2011-11-15	132.9291667
2012-01-15	131.7983333
2012-05-15	129.9116667
2012-08-15	132.9225
2012-11-15	132.2130769
2013-01-15	131.2576923
