Year	rice_th	wheat_th
1971	0.6394	0.9749
1972	0.6908	1.0268
1973	0.7422	1.0787
1974	0.7936	1.1306
1975	0.845	1.1825
1976	0.8964	1.2344
1977	0.9478	1.2863
1978	0.9992	1.3382
1979	1.0506	1.3901
1980	1.102	1.442
1981	1.1534	1.4939
1982	1.2048	1.5458
1983	1.2562	1.5977
1984	1.3076	1.6496
1985	1.359	1.7015
1986	1.4104	1.7534
1987	1.4618	1.8053
1988	1.5132	1.8572
1989	1.5646	1.9091
1990	1.616	1.961
1991	1.6674	2.0129
1992	1.7188	2.0648
1993	1.7702	2.1167
1994	1.8216	2.1686
1995	1.873	2.2205
1996	1.9244	2.2724
1997	1.9758	2.3243
1998	2.0272	2.3762
1999	2.0786	2.4281
2000	2.13	2.48
2001	2.1814	2.5319
2002	2.2328	2.5838
2003	2.2842	2.6357
2004	2.3356	2.6876
2005	2.387	2.7395
