Year	rice_th	wheat_th
1971	0.917163685	1.369491525
1972	0.596723869	1.041071429
1973	0.701185771	1.195035461
1974	0.651718984	1.180701754
1975	0.76183432	1.13024602
1976	0.7228739	0.986631016
1977	0.829931973	1.359259259
1978	0.884068811	1.407110092
1979	0.380381087	1.144508671
1980	0.734194426	1.554270463
1981	1.022683085	1.49011178
1982	1.116138763	1.386644683
1983	1.207665505	1.73037272
1984	1.244353183	1.804179567
1985	1.8289801	1.964118565
1986	1.406514658	1.677115987
1987	1.219661017	1.751519757
1988	1.671659676	2.043546321
1989	1.699813549	1.813582814
1990	1.700595202	1.836379519
1991	1.65306497	2.141217298
1992	1.850643829	2.035485304
1993	1.641443312	2.034012739
1994	1.646399093	2.203126954
1995	1.57807159	2.084672628
1996	2.175975516	2.699454222
1997	2.111904461	2.638283463
1998	1.986809202	2.40658668
1999	2.131465382	2.703586241
2000	2.055906053	2.535337423
2001	2.232963747	2.6370298
2002	2.064377009	2.566345979
2003	2.278133926	2.767097856
2004	1.819055191	2.529397677
2005	2.129122357	2.58075745
2006	1.784303581	2.725784001
2007	2.05610688	2.794247351
2008	2.197970815	2.823764383
2009	2.272501907	2.731730484
2010	2.40800462	3.167885545
2011	2.426000683	3.188002225
2012	2.42504951	3.188129112
2013	2.515868636	3.113547234
