year	well_cost
1971-01-01	461.785567
1971-01-02	461.785567
1971-01-03	461.785567
1971-01-04	461.785567
1971-01-05	461.785567
1971-01-06	461.785567
1971-01-07	461.785567
1971-01-08	461.785567
1971-01-09	461.785567
1971-01-10	461.785567
1971-01-11	461.785567
1971-01-12	461.785567
1971-01-13	461.785567
1971-01-14	461.785567
1971-01-15	461.785567
1971-01-16	461.785567
1971-01-17	461.785567
1971-01-18	461.785567
1971-01-19	461.785567
1971-01-20	461.785567
1971-01-21	461.785567
1971-01-22	461.785567
1971-01-23	461.785567
1971-01-24	461.785567
1971-01-25	461.785567
1971-01-26	461.785567
1971-01-27	461.785567
1971-01-28	461.785567
1971-01-29	461.785567
1971-01-30	461.785567
1971-01-31	461.785567
1971-02-01	461.785567
1971-02-02	461.785567
1971-02-03	461.785567
1971-02-04	461.785567
1971-02-05	461.785567
1971-02-06	461.785567
1971-02-07	461.785567
1971-02-08	461.785567
1971-02-09	461.785567
1971-02-10	461.785567
1971-02-11	461.785567
1971-02-12	461.785567
1971-02-13	461.785567
1971-02-14	461.785567
1971-02-15	461.785567
1971-02-16	461.785567
1971-02-17	461.785567
1971-02-18	461.785567
1971-02-19	461.785567
1971-02-20	461.785567
1971-02-21	461.785567
1971-02-22	461.785567
1971-02-23	461.785567
1971-02-24	461.785567
1971-02-25	461.785567
1971-02-26	461.785567
1971-02-27	461.785567
1971-02-28	461.785567
1971-03-01	461.785567
1971-03-02	461.785567
1971-03-03	461.785567
1971-03-04	461.785567
1971-03-05	461.785567
1971-03-06	461.785567
1971-03-07	461.785567
1971-03-08	461.785567
1971-03-09	461.785567
1971-03-10	461.785567
1971-03-11	461.785567
1971-03-12	461.785567
1971-03-13	461.785567
1971-03-14	461.785567
1971-03-15	461.785567
1971-03-16	461.785567
1971-03-17	461.785567
1971-03-18	461.785567
1971-03-19	461.785567
1971-03-20	461.785567
1971-03-21	461.785567
1971-03-22	461.785567
1971-03-23	461.785567
1971-03-24	461.785567
1971-03-25	461.785567
1971-03-26	461.785567
1971-03-27	461.785567
1971-03-28	461.785567
1971-03-29	461.785567
1971-03-30	461.785567
1971-03-31	461.785567
1971-04-01	461.785567
1971-04-02	461.785567
1971-04-03	461.785567
1971-04-04	461.785567
1971-04-05	461.785567
1971-04-06	461.785567
1971-04-07	461.785567
1971-04-08	461.785567
1971-04-09	461.785567
1971-04-10	461.785567
1971-04-11	461.785567
1971-04-12	461.785567
1971-04-13	461.785567
1971-04-14	461.785567
1971-04-15	461.785567
1971-04-16	461.785567
